S.no, Profile, Dia_mm, Thk_mm, Td_kN, Pd_kN, Vy_kN, Vz_kN, Td_kN-m, My_kN-m, Mz-_kN-m, Mz+_kN-m, KLT, lay, laz, laLT, Fc1
1, NB15X2, 21.3, 2.0, 38.58446977272556, 1.5450625265038611, 14.181822066821539, 14.181822066821539, 0.22117003918424016, 0.2046009440103301, 0.2046009440103301, 0.2046009440103301, -4.974366132389765, 4.8303984172393015, 4.8303984172393015, 4.8303984172393015, -1.7278108798527993e-05
2, NB15X2.6, 21.3, 2.6, 48.60043835103411, 1.8459344077790174, 17.86321732872702, 17.86321732872702, 0.2699219745578083, 0.24399473591867746, 0.24399473591867746, 0.24399473591867746, -4.000594382914973, 4.964326837594179, 4.964326837594179, 4.964326837594179, -1.3717297400723584e-05
3, NB15X3.2, 21.3, 3.2, 57.89669661233845, 2.0879211352584974, 21.280081194567448, 21.280081194567448, 0.31123527197894785, 0.2754985767673033, 0.2754985767673033, 0.2754985767673033, -3.4210334743445205, 5.099149140092896, 5.099149140092896, 5.099149140092896, -1.1514761733825632e-05
4, NB20X2.3, 26.9, 2.3, 56.55723574458062, 3.6034745182722943, 20.78775887411302, 20.78775887411302, 0.4132184757970548, 0.3850412404492108, 0.3850412404492108, 0.3850412404492108, -1.561630222154304, 3.793452295829187, 3.793452295829187, 3.793452295829187, -1.1787469063682938e-05
5, NB20X2.6, 26.9, 2.6, 63.15458031711916, 3.940628679624903, 23.21263000470944, 23.21263000470944, 0.4557929216066807, 0.42065880774423137, 0.42065880774423137, 0.42065880774423137, -1.3424610591952253, 3.835143307472361, 3.835143307472361, 3.835143307472361, -1.0556109522367536e-05
6, NB20X3.2, 26.9, 3.2, 75.80948672444313, 4.5382682119793545, 27.863973718853494, 27.863973718853494, 0.5336153961046829, 0.4835433428510494, 0.4835433428510494, 0.4835433428510494, -1.0339849474747669, 3.9191170747532107, 3.9191170747532107, 3.9191170747532107, -8.793974151149534e-06
7, NB25X2.6, 33.7, 2.6, 80.8274669902225, 8.020658808356872, 29.70834539697382, 29.70834539697382, 0.7465790643485881, 0.7008029200991126, 0.7008029200991126, 0.7008029200991126, -0.15087419267249258, 3.0032181919733256, 3.0032181919733256, 3.0032181919733256, -8.24802126667302e-06
8, NB25X3.2, 33.7, 3.2, 97.56073186057033, 9.3676418842213, 35.85870035548659, 35.85870035548659, 0.8837538895589764, 0.8168091338950838, 0.8168091338950838, 0.8168091338950838, 0.014611217544792665, 3.0562057252603827, 3.0562057252603827, 3.0562057252603827, -6.8333504059752094e-06
9, NB25X4, 33.7, 4.0, 118.75220230569421, 10.917241417906245, 43.647680350735726, 43.647680350735726, 1.047501301318298, 0.9494080003150227, 0.9494080003150227, 0.9494080003150227, 0.1544778687746975, 3.1275174802008356, 3.1275174802008356, 3.1275174802008356, -5.613930973259094e-06
10, NB32X2.6, 42.4, 2.6, 103.43836611610473, 16.190799338336955, 38.01904009001797, 38.01904009001797, 1.2227035505120265, 1.1642671189917406, 1.1642671189917406, 1.1642671189917406, 0.42987563258149963, 2.3499135467636774, 2.3499135467636774, 2.3499135467636774, -6.445061844058563e-06
11, NB32X3.2, 42.4, 3.2, 125.38953078473297, 19.1296083709917, 46.08724767000241, 46.08724767000241, 1.459835073208175, 1.3723765852378844, 1.3723765852378844, 1.3723765852378844, 0.5174616724110856, 2.38304017386003, 2.38304017386003, 2.38304017386003, -5.316764984240917e-06
12, NB32X4, 42.4, 4.0, 153.53820096089754, 22.639579213694407, 56.43336449388052, 56.43336449388052, 1.7510724743188442, 1.6192776001717595, 1.6192776001717595, 1.6192776001717595, 0.5922729330063852, 2.427643689734078, 2.427643689734078, 2.427643689734078, -4.342024737130081e-06
13, NB40X2.9, 48.3, 2.9, 131.6070282455193, 26.144143928035046, 48.37250500823116, 48.37250500823116, 1.7745628474569335, 1.6917388661247157, 1.6917388661247157, 1.6917388661247157, 0.6469278452498559, 2.060248543954944, 2.060248543954944, 2.060248543954944, -5.065585596408785e-06
14, NB40X3.2, 48.3, 3.2, 144.26193465284328, 28.34380324557446, 53.023848722375234, 53.023848722375234, 1.9323453360944398, 1.83172335350357, 1.83172335350357, 1.83172335350357, 0.6743284889895464, 2.072968357057865, 2.072968357057865, 2.072968357057865, -4.621223667012061e-06
15, NB40X4, 48.3, 4.0, 177.12870579603546, 33.79457841055353, 65.10411580934654, 65.10411580934654, 2.3305000950290173, 2.176691758573901, 2.176691758573901, 2.176691758573901, 0.7268565058386228, 2.1071368698420976, 2.1071368698420976, 2.1071368698420976, -3.7637415328621922e-06
16, NB50X2.9, 60.3, 2.9, 166.3930269007226, 49.63008898454262, 61.158189151375964, 61.158189151375964, 2.8366350439981396, 2.7344500232221884, 2.7344500232221884, 2.7344500232221884, 0.8140086101065793, 1.6307756317210633, 1.6307756317210633, 1.6307756317210633, -4.006578154650852e-06
17, NB50X3.6, 60.3, 3.6, 204.03787487069286, 59.69148091385076, 74.99465078444594, 74.99465078444594, 3.4359774090349777, 3.276635096524208, 3.276635096524208, 3.276635096524208, 0.8453586828564119, 1.6496925143066614, 1.6496925143066614, 1.6496925143066614, -3.267367233113757e-06
18, NB50X4.5, 60.3, 4.5, 250.99897305521728, 71.62268535857415, 92.25532437769141, 92.25532437769141, 4.159705580854893, 3.9134486152637544, 3.9134486152637544, 3.9134486152637544, 0.8711194758398683, 1.6742403396630707, 1.6742403396630707, 1.6742403396630707, -2.656053363692476e-06
19, NB65X2.9, 76.1, 2.9, 212.19459179674038, 92.71548114269163, 77.99267327318329, 77.99267327318329, 4.613195303497853, 4.4892540317975405, 4.4892540317975405, 4.4892540317975405, 0.900439828203417, 1.2794049885774206, 1.2794049885774206, 1.2794049885774206, -3.141770301597799e-06
20, NB65X3.6, 76.1, 3.6, 260.8949899140251, 112.48632351909815, 95.89263107358603, 95.89263107358603, 5.617721370323745, 5.419358041280736, 5.419358041280736, 5.419358041280736, 0.9179387418666767, 1.2911803925199523, 1.2911803925199523, 1.2911803925199523, -2.55530651196621e-06
21, NB65X4.5, 76.1, 4.5, 322.0703668593828, 136.4899074772401, 118.37779973911655, 118.37779973911655, 6.848890765338144, 6.534697706395029, 6.534697706395029, 6.534697706395029, 0.9323703165942253, 1.306443426409996, 1.306443426409996, 1.306443426409996, -2.0699410292463705e-06
22, NB80X3.2, 88.9, 3.2, 274.1296629656027, 147.8881669168528, 100.75706952344926, 100.75706952344926, 6.977394898497183, 6.803654632518585, 6.803654632518585, 6.803654632518585, 0.9375827733671278, 1.0928896399190786, 1.0928896399190786, 1.0928896399190786, -2.431939175988842e-06
23, NB80X4, 88.9, 4.0, 339.4633661869842, 181.13491971284938, 124.77064181068887, 124.77064181068887, 8.559670617414668, 8.275433358723632, 8.275433358723632, 8.275433358723632, 0.9490392617535999, 1.102733344020794, 1.102733344020794, 1.102733344020794, -1.963883980044703e-06
24, NB80X4.8, 88.9, 4.8, 403.51758440035866, 212.93903713022627, 148.31393606047965, 148.31393606047965, 10.078941167876843, 9.662430544209059, 9.662430544209059, 9.662430544209059, 0.9566506482081817, 1.1126471578023698, 1.1126471578023698, 1.1126471578023698, -1.6521378310126362e-06
25, NB90X3.6, 101.6, 3.6, 352.6580553320616, 220.51983847032017, 129.62038407188183, 129.62038407188183, 10.264465358494984, 10.014266963994748, 10.014266963994748, 10.014266963994748, 0.9599934593934909, 0.9557422194995678, 0.9557422194995678, 0.9557422194995678, -1.8904053277301033e-06
26, NB90X4, 101.6, 4.0, 390.2429274422813, 243.07987496883644, 143.43480142194636, 143.43480142194636, 11.312049786354892, 10.99489475005411, 10.99489475005411, 10.99489475005411, 0.9635636956433486, 0.9595009999619736, 0.9595009999619736, 0.9595009999619736, -1.7083376014938024e-06
